,_totalUpserts,accountName,application,applicationId,eventCompletionTimestamp,eventTimestamp,pickupTimestamp,responseTime,segments.entryPoint,segments.node,segments.nodeId,segments.requestExperience,segments.tier,segments.tierId,segments.userData,segments.userData.age,anomalous,segments.userData.ccavg,segments.userData.cd.account,segments.userData.creditcard,segments.userData.education,segments.userData.experience,segments.userData.family,segments.userData.income,segments.userData.mortgage,segments.userData.online,segments.userData.personal.loan,segments.userData.responsetime,segments.userData.securities.account,segments.userData.zip.code,transactionId,transactionName
0,1,appdmsu_c1887a44-cf00-4a84-8fa7-10a24c6638b1,DataGenerator,163806,2020-04-07T22:03:26.864Z,2020-04-07T22:02:55.016Z,2020-04-07T22:03:27.037Z,14,True,process-0,89292826,NORMAL,CronApi,379898,,46,0,0.7,0,0,3,21,2,13,0,1,0,15,0,93117,1153507,modified_apply_for_mortgage
1,1,appdmsu_c1887a44-cf00-4a84-8fa7-10a24c6638b1,DataGenerator,163806,2020-04-07T22:03:26.887Z,2020-04-07T22:02:50.965Z,2020-04-07T22:03:27.062Z,353,True,process-0,89292826,SLOW,CronApi,379898,,34,0,6.5,1,0,3,9,2,180,0,1,1,27,0,93955,1153507,modified_apply_for_mortgage
2,1,appdmsu_c1887a44-cf00-4a84-8fa7-10a24c6638b1,DataGenerator,163806,2020-04-07T22:03:26.658Z,2020-04-07T22:02:40.012Z,2020-04-07T22:03:26.858Z,10,True,process-0,89292826,NORMAL,CronApi,379898,,35,0,1.7,0,1,2,11,2,82,0,1,0,10,0,94022,1153507,modified_apply_for_mortgage
3,1,appdmsu_c1887a44-cf00-4a84-8fa7-10a24c6638b1,DataGenerator,163806,2020-04-07T22:03:26.515Z,2020-04-07T22:02:35.029Z,2020-04-07T22:03:27.581Z,28,True,process-0,89292826,NORMAL,CronApi,379898,,54,0,1.4,0,0,3,24,3,69,132,1,0,27,0,93117,1153507,modified_apply_for_mortgage
4,1,appdmsu_c1887a44-cf00-4a84-8fa7-10a24c6638b1,DataGenerator,163806,2020-04-07T22:03:26.559Z,2020-04-07T22:02:30.019Z,2020-04-07T22:03:27.253Z,18,True,process-0,89292826,NORMAL,CronApi,379898,,59,0,1.6,0,1,1,35,2,93,0,0,0,17,0,94301,1153507,modified_apply_for_mortgage
5,1,appdmsu_c1887a44-cf00-4a84-8fa7-10a24c6638b1,DataGenerator,163806,2020-04-07T22:02:46.885Z,2020-04-07T22:02:25.013Z,2020-04-07T22:02:47.043Z,12,True,process-0,89292826,NORMAL,CronApi,379898,,42,0,0.3,0,0,3,18,1,29,0,1,0,11,0,91320,1153507,modified_apply_for_mortgage
6,1,appdmsu_c1887a44-cf00-4a84-8fa7-10a24c6638b1,DataGenerator,163806,2020-04-07T22:02:38.657Z,2020-04-07T22:02:20.028Z,2020-04-07T22:02:39.320Z,28,True,process-0,89292826,NORMAL,CronApi,379898,,58,0,0.8,0,0,2,32,1,44,0,0,0,27,0,92354,1153507,modified_apply_for_mortgage
7,1,appdmsu_c1887a44-cf00-4a84-8fa7-10a24c6638b1,DataGenerator,163806,2020-04-07T22:02:38.581Z,2020-04-07T22:02:15.022Z,2020-04-07T22:02:39.545Z,20,True,process-0,89292826,NORMAL,CronApi,379898,,31,0,1.3,0,0,1,5,2,90,0,1,0,19,1,94301,1153507,modified_apply_for_mortgage
8,1,appdmsu_c1887a44-cf00-4a84-8fa7-10a24c6638b1,DataGenerator,163806,2020-04-07T22:02:40.754Z,2020-04-07T22:02:10.013Z,2020-04-07T22:02:41.249Z,12,True,process-0,89292826,NORMAL,CronApi,379898,,46,0,2.9,0,0,1,20,4,64,189,0,0,11,0,94117,1153507,modified_apply_for_mortgage
9,1,appdmsu_c1887a44-cf00-4a84-8fa7-10a24c6638b1,DataGenerator,163806,2020-04-07T22:02:46.872Z,2020-04-07T22:02:05.015Z,2020-04-07T22:02:47.027Z,14,True,process-0,89292826,NORMAL,CronApi,379898,,46,0,1.9,0,0,3,21,4,42,0,1,0,14,0,93727,1153507,modified_apply_for_mortgage
10,1,appdmsu_c1887a44-cf00-4a84-8fa7-10a24c6638b1,DataGenerator,163806,2020-04-07T22:02:46.876Z,2020-04-07T22:02:00.338Z,2020-04-07T22:02:47.023Z,337,True,process-0,89292826,SLOW,CronApi,379898,,27,1,5.5,0,0,1,1,3,142,0,0,1,336,0,92038,1153507,modified_apply_for_mortgage
11,1,appdmsu_c1887a44-cf00-4a84-8fa7-10a24c6638b1,DataGenerator,163806,2020-04-07T22:02:08.556Z,2020-04-07T22:01:55.029Z,2020-04-07T22:02:08.744Z,27,True,process-0,89292826,NORMAL,CronApi,379898,,51,0,1.8,0,1,3,27,1,53,0,0,0,27,0,94114,1153507,modified_apply_for_mortgage
12,1,appdmsu_c1887a44-cf00-4a84-8fa7-10a24c6638b1,DataGenerator,163806,2020-04-07T22:02:16.853Z,2020-04-07T22:01:50.030Z,2020-04-07T22:02:16.972Z,29,True,process-0,89292826,NORMAL,CronApi,379898,,41,0,0.1,0,0,1,15,3,82,0,1,0,28,0,94720,1153507,modified_apply_for_mortgage
13,1,appdmsu_c1887a44-cf00-4a84-8fa7-10a24c6638b1,DataGenerator,163806,2020-04-07T22:02:08.520Z,2020-04-07T22:01:45.030Z,2020-04-07T22:02:09.514Z,28,True,process-0,89292826,NORMAL,CronApi,379898,,51,0,0.7,0,0,1,25,3,175,312,0,1,27,0,90089,1153507,modified_apply_for_mortgage
14,1,appdmsu_c1887a44-cf00-4a84-8fa7-10a24c6638b1,DataGenerator,163806,2020-04-07T22:02:08.653Z,2020-04-07T22:01:40.029Z,2020-04-07T22:02:09.016Z,27,True,process-0,89292826,NORMAL,CronApi,379898,,35,0,4,0,0,3,5,4,81,0,1,0,26,0,94234,1153507,modified_apply_for_mortgage
15,1,appdmsu_c1887a44-cf00-4a84-8fa7-10a24c6638b1,DataGenerator,163806,2020-04-07T22:02:08.616Z,2020-04-07T22:01:35.022Z,2020-04-07T22:02:08.878Z,21,True,process-0,89292826,NORMAL,CronApi,379898,,40,0,0.3,0,1,1,14,2,42,106,0,0,21,0,90638,1153507,modified_apply_for_mortgage
16,1,appdmsu_c1887a44-cf00-4a84-8fa7-10a24c6638b1,DataGenerator,163806,2020-04-07T22:02:08.630Z,2020-04-07T22:01:30.026Z,2020-04-07T22:02:09.431Z,24,True,process-0,89292826,NORMAL,CronApi,379898,,58,0,5.2,0,1,3,32,4,191,194,0,1,24,0,93943,1153507,modified_apply_for_mortgage
17,1,appdmsu_c1887a44-cf00-4a84-8fa7-10a24c6638b1,DataGenerator,163806,2020-04-07T22:01:38.616Z,2020-04-07T22:01:25.025Z,2020-04-07T22:01:39.112Z,23,True,process-0,89292826,NORMAL,CronApi,379898,,62,0,0.7,0,0,2,36,3,28,0,1,0,23,0,95020,1153507,modified_apply_for_mortgage
18,1,appdmsu_c1887a44-cf00-4a84-8fa7-10a24c6638b1,DataGenerator,163806,2020-04-07T22:01:38.591Z,2020-04-07T22:01:20.027Z,2020-04-07T22:01:39.538Z,25,True,process-0,89292826,NORMAL,CronApi,379898,,59,0,2.9,0,1,1,35,1,161,160,0,0,25,0,94301,1153507,modified_apply_for_mortgage
