"","ï..ID","Age","Experience","Income","ZIP.Code","Family","CCAvg","Education","Mortgage","Personal.Loan","Securities.Account","CD.Account","Online","CreditCard","responsetime","problem_group","portion","time"
"1",1,25,1,49,91107,4,1.6,1,0,0,1,0,0,0,1938.10006996151,1,0.0735294117647059,2020-02-15 00:00:00
"2",2,45,19,34,90089,3,1.5,1,0,0,1,0,0,0,25.1651895558462,0,0,2020-02-15 00:02:52
"3",3,39,15,11,94720,1,1,1,0,0,0,0,0,0,2267.73955509998,4,0.279411764705882,2020-02-15 00:05:45
"4",4,35,9,100,94112,1,2.7,2,0,0,0,0,0,0,18.9320803340524,0,0,2020-02-15 00:08:38
"5",5,35,8,45,91330,4,1,2,0,0,0,0,0,1,25.6275430042297,0,0,2020-02-15 00:11:31
"6",6,37,13,29,92121,4,0.4,2,155,0,0,0,1,0,1373.88960467651,5,0.441176470588235,2020-02-15 00:14:24
"7",7,53,27,72,91711,2,1.5,2,0,0,0,0,1,0,26.8388414429501,0,0,2020-02-15 00:17:16
"8",8,50,24,22,93943,1,0.3,3,0,0,0,0,0,1,22.5883369194344,0,0,2020-02-15 00:20:09
"9",9,35,10,81,90089,3,0.6,2,104,0,0,0,1,0,26.1744931759313,0,0,2020-02-15 00:23:02
"10",10,34,9,180,93023,1,8.9,3,0,1,0,0,0,0,25.8141992101446,0,0,2020-02-15 00:25:55
"11",11,65,39,105,94710,4,2.4,3,0,0,0,0,0,0,25.7346699014306,0,0,2020-02-15 00:28:48
"12",12,29,5,45,90277,3,0.1,2,0,0,0,0,1,0,12.0728887571022,0,0,2020-02-15 00:31:40
"13",13,48,23,114,93106,2,3.8,3,0,0,1,0,0,0,16.0215700836852,0,0,2020-02-15 00:34:33
"14",14,59,32,40,94920,4,2.5,2,0,0,0,0,1,0,14.0876816911623,0,0,2020-02-15 00:37:26
"15",15,67,41,112,91741,1,2,1,0,0,1,0,0,0,26.8590145977214,0,0,2020-02-15 00:40:19
"16",16,60,30,22,95054,1,1.5,3,0,0,0,0,1,1,14.8265112424269,0,0,2020-02-15 00:43:12
"17",17,38,14,130,95010,4,4.7,3,134,1,0,0,0,0,25.3454195102677,0,0,2020-02-15 00:46:04
